id,targeted,creation_time,post_owner.id,post_owner.name,post_owner.username,Country,Facebook,text,comments/questions,language,politics,domestic_politics,foreign_politics,resource_distribution,resource_distribution_by_whom1,resource_distribution_for_whom1,resource_distribution_for_whom_ethnic1,resource_distribution_for_whom_region1,resource_distribution_gender,climate_change,topic01,topic02,topic03,pro_us,pro_russia,pro_china,pro_un,pro_imf,pro_democracy,anti_western,national_unity,national_unity_narrow,subgroup_unity,subgroup_unity_text,african_unity,political_opponents,political_opponents_viol,religion,,gd comments
1564859727959359,1,2025-11-10T11:27:19+00:00,868553364646643,رئاسة مجلس الوزراء المصري,EgyptianCabinet,Egypt,https://www.facebook.com/EgyptianCabinet/,"خلال مشاركته في منتدى التجارة والاستثمار المصري الخليجي 

▪︎السيد/ حسام هيبة: الطريق مفتوح للقطاع الخاص العربي للمساهمة في جهود التنمية الاقتصادية

▪︎السيد/ حسام هيبة: وثيقة ملكية الدولة أقرت تخارج الدولة من 85% من أنشطة الاقتصاد المصري

....................................................................

بيان صادر عن الهيئة العامة للاستثمار والمناطق الحرة:

قال السيد/ حسام هيبة، الرئيس التنفيذي للهيئة العامة للاستثمار والمناطق الحرة، إن وثيقة ملكية الدولة فتحت الطريق للقطاع الخاص المصري والعربي والأجنبي للمساهمة في جهود التنمية الاقتصادية، حيث أقرت الوثيقة تخارج الدولة من قطاعات اقتصادية تستحوذ على حوالي 85% من الناتج المحلي الإجمالي.

جاءت هذه التصريحات اثناء مشاركة السيد/ حسام هيبة، في الجلسة الرئيسية لمنتدى التجارة والاستثمار المصري الخليجي، الذي استضافته القاهرة تحت عنوان ""خارطة طريق نحو تعزيز التعاون الاقتصادي""، بحضور اللواء بحري الدكتور نهاد شاهين، نائب وزير النقل للنقل البحري، والوزير مفوض تجاري مصطفى شيخون، نائب رئيس مجلس إدارة الهيئة العامة للمنطقة الاقتصادية لقناة السويس للاستثمار والترويج، والدكتور جمال السعيدي، رئيس مجموعة القادة القابضة وعضو مجلس الأعمال المصري الإماراتي، والسيدة/ نهى خليل، القائم بأعمال المدير التنفيذي للصندوق السيادي المصري. 

وقال الرئيس التنفيذي للهيئة إن الحكومة المصرية تستهدف أن تكون مصر المركز الإقليمي في قطاعات محددة تمتلك فيها مصر ميزة تنافسية مرتفعة، على رأسها قطاعات الطاقة والسياحة والصناعة، ولهذا قامت الهيئة بإعداد خطتها الترويجية للمساهمة في تحقيق هذه الأهداف، ونجحنا في جذب استثمارات عربية وأجنبية في هذه القطاعات.

واستعرض الرئيس التنفيذي للهيئة التعديلات التشريعية والإجرائية التي أطلقتها الحكومة المصرية لتحسين البيئة الاستثمارية، منذ إطلاق قانون الاستثمار لعام 2017، وصولاً إلى الوضع الحالي حيث انتقلت الهيئة إلى مرحلة التأسيس الإلكتروني للشركات ورقمنة الخدمات المُقدمة للمستثمرين، كما تضم الهيئة إدارة مخصصة لرعاية المستثمرين ومركز لتسوية المنازعات، والنتيجة أن معظم التحديات التي يواجهها المستثمر تنتهي في أقصر وقت ممكن، حيث لم يعد المستثمر يتعامل مع أفراد إنما منظومة متكاملة لخدمته، إلكترونياً وعلى أرض الواقع.
وأضاف الرئيس التنفيذي للهيئة أن المستثمر العربي الناجح في مصر هو عنصر الدعاية والترويج الأهم للاقتصاد المصري، لذا تحصل توسعات المستثمرين الحاليين على نفس الحوافز الممنوحة للاستثمارات الجديدة.",,3,1,1,1,0,,,,,,0,15,1,,,,,,,,0,0,0,0,,0,0,0,0,,
955234287065977,1,2025-10-10T10:21:28+00:00,778569307809477,Gouvernement du Mali,GouvMali,Mali,https://www.facebook.com/@GouvMali,"#Gouvernementml ~ 12e réunion du Groupe de travail sur le trafic illicite de migrants à Vienne : Le Ministre Mossa Ag ATTAHER porte la voix du Mali

Le Ministre des Maliens établis à l’Extérieur et de l’Intégration Africaine, M. Mossa AG ATTAHER, est intervenu ce 9 octobre 2025 à la cérémonie d’ouverture de la douzième réunion du Groupe de travail sur le trafic illicite de migrants.

Dans son allocution, il a salué le travail du Secrétariat de l’ONUDC en faveur de la protection des migrants. Il a rappelé que le Mali demeure résolument engagé dans la lutte contre le trafic illicite de migrants, à travers des efforts législatifs, institutionnels et politiques, ainsi qu’une coopération active aux niveaux régional et international.

La suite de l’article sur👉🏿www.gouvernement.ml",,2,1,1,1,0,,,,,,0,9,,,,,,3,,,0,1,0,0,,0,0,0,0,,
1974045069851829,0,2025-11-21T19:43:46+00:00,1569311277252332,José Maria Neves Presidente,JMNPresidente,Cape Verde,https://www.facebook.com/@JMNPresidente,"PR recebe jovem criador e promotor de plataforma digital de ensino de línguas

O Presidente da República recebeu hoje o jovem criador e promotor tecnológico cabo-verdiano Marcelo César, responsável pela Prendi, uma aplicação inovadora que pretende transformar o ensino de línguas nas escolas através das novas tecnologias. No encontro, Marcelo apresentou a missão da plataforma, que visa garantir que os estudantes terminem o ensino secundário ou superior com o nível linguístico que o mercado de trabalho exige. 

A versão teste, lançada em outubro, já conta com mais de 140 utilizadores e tem recebido feedback muito positivo. O objetivo é alcançar mais de 130 mil estudantes até 2029 e ajudá-los a atingir níveis de inglês B2 ou C1, criando oportunidades reais de bolsas, empregos ou projetos empreendedores. 

Autodidata em tecnologia, Marcelo é hoje uma inspiração para muitos jovens e mantém o sonho de prosseguir para o ensino superior e continuar a desenvolver as suas capacidades. 

José Maria Neves, que se mostrou bem impressionado com o jovem, manifestou disponibilidade para dar maior visibilidade ao projeto, convidando-o, para já, a participar na próxima Semana da República, que irá debruçar-se, precisamente, sobre a Geração Z e as novas tecnologias.

#PresidentedaRepública #JoséMariaNeves #jmn #MarceloCesar #prendi #Tecnologia #inovação #empreendedorismo #línguas #inspiração",,4,1,1,0,0,,,,,,0,6,,,,,,,,,0,1,0,0,,0,0,0,0,,
1293599065310659,1,2025-03-18T00:57:02+00:00,394410580341738,رئاسة الجمهورية الإسلامية الموريتانية,presidence.rim,Mauritania,https://www.facebook.com/presidence.rim,من مأدبة الإفطار التي أقامها فخامة رئيس الجمهورية مساء أمس الاثنين 17 رمضان 1446 الموافق 17 مارس 2025، في ميناء نواكشوط المستقل، على شرف الحمالين العاملين بالميناء، في إطار سياسة الإحياء الرمضاني، التي اعتمدها صاحب الفخامة، استحضارا لقيم شهر رمضان المبارك، المبنية على التآخي والتآزر والصبر والبر والإحسان التي جسدها فخامته، جاعلا منها فرصة للتواصل مع مواطنيه، وتبادل الحديث معهم للاطلاع بشكل مباشر على ظروفهم.,corrected,3,1,1,0,0,,,,,,0,1,,,,,,,,,0,1,1,0,,0,0,0,1,subgroup_unity text might be borderline cause it's workers from anywhere probably,"subgroup unity doesn't apply for the reason you mentioned; resource distribution also doesn't apply because there's nothing concrete being discussed (revival policy is mentioned, but we do not know what this policy implies)"
1.29644E+15,0,2025-04-03T11:24:59+00:00,868553364646643,رئاسة مجلس الوزراء المصري,EgyptianCabinet,Egypt,https://www.facebook.com/EgyptianCabinet/,"المركز الإعلامي لمجلس الوزراء يستعرض بالإنفوجراف جهود التحالف الوطني للعمل الأهلي التنموي لمساندة الفئات الأكثر احتياجًا 

- التحالف يضم 36 كيانًا تنمويًا وخدميًا.. وقدم أكثر من 124 مليون خدمة لـ 40 مليون مستفيد سنويًا منذ إنشائه وحتى الآن

-14.1 مليون خدمة طبية و89.9 مليون خدمة غذائية و699.9 ألف خدمة تمكين اقتصادي للأسر الأكثر احتياجًا

 - تقديم مساعدات نقدية لـ 10.1 ملايين أسرة.. وأكثر من 4 ملايين مساعدة اجتماعية لرعاية الأيتام وفك كرب الغارمات وغيرها

- توفير أكثر من 11 مليون وجبة في شهر رمضان.. وتوزيع أكثر من 45 ألف كرتونة غذائية في عيد الفطر.. واستعدادات لدعم أكثر من مليوني أسرة بلحوم الأضاحي

- مبادرة ""ازرع"" في مرحلتيها الأولى والثانية مكنت 600 ألف مزارع من زراعة 769.4 ألف فدان

نشر المركز الإعلامي لمجلس الوزراء، مجموعة من الإنفوجرافات على منصاته بمواقع التواصل الاجتماعي، تسلط الضوء على جهود التحالف الوطني للعمل الأهلي التنموي لمساندة الفئات الأكثر احتياجًا، ومبادراته الصحية والاقتصادية والاجتماعية والإنتاجية، خاصة بعد توحيد جميع الأنشطة التطوعية تحت مظلة التحالف الوطني، لتحقيق التكامل بين جهود الدولة والمجتمع المدني للارتقاء بالمستوى المعيشي للمواطنين.

وتناولت الإنفوجرافات أبرز جهود التحالف الوطني للعمل الأهلي التنموي منذ إنشائه وحتى الآن، موضحة أنه يضم 36 كيانًا تنمويًا وخدميًا، وقدم 124.8 مليون خدمة متنوعة لمتوسط عدد 40 مليون مستفيد سنويًا،بجانب تقديم 14.1 مليون خدمة طبية، بالإضافة إلى تقديم 89.9 مليون خدمة غذائية ما بين صناديق مواد غذائية ولحوم ووجبات ساخنة وحلوى المولد وتغذية مدرسية، فيما تم تقديم مساعدات نقدية لـ 10.1 ملايين أسرة، وكذلك تقديم 4.1 ملايين مساعدة اجتماعية تنوعت ما بين رعاية أيتام وتجهيز فتيات للزواج وفك كرب غارمات، فضلًا عن تقديم 699.9 ألف خدمة تمكين اقتصادي للأسر الأكثر احتياجًا.

كما تناول المركز الإعلامي لمجلس الوزراء، جهود التحالف الوطني في شهر رمضان وعيد الفطر، وكذلك استعداداته لعيد الأضحى المقبل، ففيما يتعلق بموسم رمضان، وفر التحالف أكثر من 11 مليون وجبة إفطار وسحور، كما وزع أكثر من 4.5 مليون كرتونة مواد غذائية، لتلبية احتياجات الأسر من المواد الغذائية الأساسية، فيما يٌقدم مساعدات إنسانية ومادية لـ 35 ألف أسرة، وبالنسبة لموسم عيد الفطر، فقد تم توزيع أكثر من 45 ألف كرتونة غذائية وأكثر من 55 طنًا من اللحوم، وبشأن موسم عيد الأضحى، فإن هناك أكثر من مليوني أسرة ستستفيد بتوزيع لحوم الأضاحي، وأكثر من 25 ألف أسرة ستستفيد من تقديم الدعم المادي الاستثنائي.

ولفت المركز الإعلامي لمجلس الوزراء إلى أبرز مبادرات وحملات التحالف الوطني، ومن بينها حملة ""أيد واحدة""، والتي استفاد من المرحلة الأولى منها أكثر من 3 ملايين مواطن، فيما تستهدف المرحلة الثانية 7 ملايين أسرة من الفئات الأولى بالرعاية، من خلال توفير خدمات ومساعدات مختلفة، مثل: الملابس والمواد الغذائية وإعادة إعمار المنازل وتجهيز عرائس للزواج، أما مبادرة ""ازرع"" فقد مكنت المرحلتان الأولى والثانية منها 600 ألف من المزارعين لزراعة 769.4 ألف فدان، بينما تم زراعة 15.1 ألف فدان حتى الآن بالمرحلة الثالثة من المبادرة، بمشاركة فعالة من 5.8 ألف مزارع، وعلى صعيد ""قوافل ستر وعافية""، فقد تم تنظيم 30 قافلة من قوافل ستر وعافية بـ 19 محافظة بإجمالي 660 ألف مستفيد مباشر.

#جهود_التحالف_الوطني_للعمل_الأهلي_التنموي_لمساندة_الفئات_الأكثر_احتياجًا 
#المركز_الإعلامي_لمجلس_الوزراء 
#رئاسة_مجلس_الوزراء",corrected,3,1,1,0,1,0;1,0;1,,19 governorates,1,0,13,4,3,,,,,,,0,1,0,1,residents of 19 governorates ,0,0,0,1,"subgroup_unity_text ? the post names specific su-groups orphans, indebted women, farmers from those 19 governorates","i agree with your annotations; except anti_western - i think you skipped a cell? (should be anti_western = 0; national unity = 1; narrow = 0; subgroup_unity = 1; text = ""residents of 19 governorates"" etc.)"
1121414016276504,1,2024-11-02T11:06:00+00:00,3518274075089309,John Dramani Mahama,JDMahama,Ghana,https://www.facebook.com/JDMahama,"During my campaign in the Northern Region, I had the honour of presenting a 7-seater vehicle to the Islamic Education Unit of the Ghana Education Service in Tamale. This donation, received by Abdul Karim Bapuni, will significantly enhance our engagement and mobility in promoting educational initiatives. 

Earlier on Sunday, at the National Muslim Conference in Accra, I also presented a vehicle to the National Chief Imam for the Zakat and Sadaqa Trust Fund, highlighting my commitment to strengthening our Islamic and charitable organizations.

I have also distributed motorbikes to five Hausa language radio stations in Accra to support their vital work in communication and community outreach. 

#SupportingEducation 
#CommunityEngagement 
#LetsBuildGhanaTogether",,1,1,1,0,1,0,1,Hausa language radio stations,Tamale; Acrra,0,0,6,24,,,,,,,,0,0,0,1,Islamic Education Unit of the Ghana Education Service in Tamale; Hausa language radio stations in Accra,0,0,0,1,,
822845810400554,1,2025-03-28T19:09:27+00:00,868553364646643,رئاسة مجلس الوزراء المصري,EgyptianCabinet,Egypt,https://www.facebook.com/EgyptianCabinet/,"🔳 وزير الخارجية والهجرة يتلقى اتصالًا هاتفيًا من رئيس الحكومة اللبنانية

🔳 ""عبدالعاطي"" يؤكد: 

- رفض مصر لأية تحركات من شأنها أن تمس أمن وسلامة واستقرار الشعب اللبناني الشقيق

- ضرورة الانسحاب الفوري وغير المنقوص للقوات الإسرائيلية من جنوب لبنان

...................................................

بيان صادر عن وزارة الخارجية والهجرة وشئون المصريبن بالخارج:

تلقى  د. بدر عبد العاطي وزير الخارجية والهجرة اتصالًا هاتفيًا يوم الجمعة ٢٨ مارس من السيد ""نواف سلام"" رئيس الحكومة اللبنانية.

تناول الاتصال تطورات الوضع في لبنان، حيث أطلع رئيس الوزراء اللبناني الوزير عبد العاطي على أخر المستجدات على إثر الغارات الإسرائيلية التي استهدفت الضاحية الجنوبية لبيروت. وقد شدد وزير الخارجية على موقف مصر الداعم للبنان وإدانتها الكاملة لقصف مبنى في بيروت صباح اليوم، معيدًا التأكيد على رفض مصر لأية تحركات من شأنها أن تمس أمن وسلامة واستقرار الشعب اللبناني الشقيق. كما أكد عبد العاطي على ضرورة التنفيذ الكامل والالتزام باتفاق وقف الأعمال العدائية في جنوب لبنان، والانسحاب الفوري وغير المنقوص للقوات الإسرائيلية من جنوب لبنان، وتمكين الجيش اللبناني من تنفيذ القرار ١٧٠١، وأهمية التطبيق الكامل والمتزامن للقرار من جانب كل الأطراف دون انتقائية.

وأعرب الوزير عبد العاطي عن قلق مصر البالغ إزاء حالة التصعيد الخطيرة التي يشهدها لبنان، محذرًا من مخاطر التصعيد الراهنة، التي قد تؤدي لانزلاق المنطقة إلى مواجهة خطيرة تهدد الأمن الإقليمي. كما أكد على ضرورة اضطلاع المجتمع الدولي بمسئولياته إزاء وقف الانتهاكات الإسرائيلية المتكررة للسيادة اللبنانية بكافة صورها، وبما يحفظ للبنان سيادته ووحدته وأمنه واستقراره. وأشار عبد العاطي إلى الاتصالات العاجلة التي تجريها مصر لوقف هذا التصعيد مع الأطراف الإقليمية والدولية، وهو ما أعرب رئيس الوزراء اللبناني عن تقديرهم له.",,3,1,0,1,0,,,,,,0,19,16,,,,,2,,,0,0,0,0,,0,0,0,0,,
903193766025350,1,2025-06-06T10:34:53+00:00,1010739030695664,Joseph Nyuma Boakai Sr,,NA,NA,"To the Liberian Muslim Jamaa,
Esteemed Compatriots,
The Global Muslim Community, and
All Peoples of Goodwill:
 
As-salāmu ʿalaykum!
On this sacred occasion of Eid al-Adha, also known as Abraham Day—the Feast of Sacrifice—I extend my warmest greetings and heartfelt best wishes to our Muslim brothers and sisters across Liberia and around the world.

Each year, during the blessed month of Dhu al-Hijjah, Muslims across our nation join the global ummah in commemorating the profound act of obedience and faith demonstrated by Prophet Ibrahim (Abraham, peace be upon him).

Through solemn prayers and the ritual sacrifice of livestock, the faithful seek the mercy, forgiveness, and compassion of Almighty Allah, reaffirming their commitment to spiritual purification and moral integrity. 

This period also marks the performance of the Hajj, the sacred pilgrimage to the Holy City of Mecca in the Kingdom of Saudi Arabia.

To our compatriots who have been divinely favored to embark upon this spiritual journey, I offer my sincere prayers for your safety, fruitful experiences, and abundant blessings. 

May your pilgrimage not only bring personal renewal but also invoke divine favor upon our beloved nation.

As a people, our collective belief in the omnipotence, mercy, and guidance of God has long served as the bedrock of our resilience and the beacon of our national progress. 

It is in this spirit, that I urge all Liberians—regardless of creed—to continue striving for unity, peace, and a deeper sense of national cohesion.

Let us remember that when we PRAY LIBERIA, we must also THINK LIBERIA, LOVE LIBERIA, and together, with one heart and one purpose, BUILD LIBERIA.

May the blessings of Eid al-Adha inspire compassion, solidarity, and unwavering faith in our shared future.

Allahu Akbar!
Alhamdulillahi Rabbil Alamin.

Eid Mubarak!",,1,1,1,0,0,,,,,,0,23,,,,,,,,,0,1,1,1,Muslims in Liberia,0,0,0,1,,
947196201581406,1,2025-12-19T14:41:04+00:00,868553364646643,رئاسة مجلس الوزراء المصري,EgyptianCabinet,Egypt,https://www.facebook.com/EgyptianCabinet/,"خلال الجولة التفقدية لمشروعات محافظة سوهاج..

- وزيرة التخطيط والتنمية الاقتصادية والتعاون الدولي ووزيرة التنمية المحلية ومحافظ سوهاج يتفقدون قرية النساجين بحي الكوثر والمنطقة الآثرية ميريت آمون

..................................................................

بيان صادر عن وزارة التخطيط والتنمية الاقتصادية والتعاون الدولي ووزارة التنمية المحلية:

تفقدت الدكتورة رانيا المشاط، وزيرة التخطيط والتنمية الاقتصادية والتعاون الدولي، والدكتورة منال عوض، وزيرة التنمية المحلية والقائم بأعمال وزير البيئة ، يرافقهما اللواء الدكتور عبد الفتاح سراج، محافظ سوهاج، قرية النساجين بحي الكوثر والتي قام برنامج التنمية المحلية بصعيد مصر برفع كفاءتها ودعم النساجون في تطوير الأنوال والمنتجات وتعزيز وصولهم للأسواق والمعارض وذلك ضمن خطة البرنامج لتنمية التكتلات الاقتصادية ذات الميزة التنافسية بالمحافظات المستهدفة والتي تشمل ١٢ تكتل من تكتلات الحرف اليدوية والتراثية والأنشطة الزراعية والصناعية وذلك في إطار دعم الدولة للتنمية الاقتصادية المحلية والحفاظ على الحرف التراثية وإحيائها بمحافظات الصعيد، ، كما تفقدت وزيرة التخطيط والتنمية المحلية والمحافظ المنطقة الآثرية ""ميريت آمون"" وذلك ضمن الجولة التفقدية اليوم إلى محافظة سوهاج لافتتاح ومتابعة أعمال عدد من المشروعات بالمحافظة.

جاء ذلك بحضور الدكتور هشام الهلباوي مساعد وزيرة التنمية المحلية ومدير برنامج التنمية المحلية بصعيد مصر، واللواء أحمد السايس سكرتير عام المحافظة ، والدكتور ولاء جاد الكريم نائب مدير البرنامج والدكتور محمد حلمي السكرتير العام المساعد للمحافظة، وعدد من القيادات التنفيذية والشعبية بالمحافظة وممثلي المكتب التنسيقي لبرنامج التنمية المحلية بصعيد مصر  . 

واستمعت الوزيرتان إلى عرض من مسئولي المحافظة حول جهود دعم الحرف التراثية بسوهاج، وحول قرية النساجين التي تُعد أحد المشروعات التنموية الرائدة بالمحافظة، حيث تستهدف الحفاظ على حرفة النسيج اليدوي التراثية، وهي قرية النسيج الأولى بحي الكوثر أُنشئت عام 1991، وتضم 150 بيت نول من طابق واحد، فيما تضم القرية الثانية 122 بيت نول، مضافًا إليها 15 نولًا جديدًا، بما يسهم في زيادة الطاقة الإنتاجية ودعم العاملين بالحرفة.

كما تضم القرية مراكز تدريب متخصصة لتأهيل الأجيال الجديدة على حرفة النسيج اليدوي، فضلًا عن كونها مزارًا سياحيًا مهمًا، حيث يقوم النساجون بإنتاج المفروشات والمنسوجات القطنية والحريرية، وقد تحولت القرية إلى مقصد سياحي يزوره السائحون لمشاهدة الحرف اليدوية وشراء المنتجات المحلية. وهو ما يأتي في إطار دعم الحرف التراثية والصناعات اليدوية الذي يمثل أحد المحاور المهمة لتحقيق التنمية المحلية المستدامة، وخلق المزيد من فرص العمل ورفع الناتج المحلي للمحافظة، بما يعزز الاستفادة من المزايا النسبية للمحافظات ويدعم الاقتصاد المحلي.

كما تفقدت الوزيرتان *المنطقة الأثرية ""ميريت آمون"" بأخميم التي تضم معبدًا يتضمن تمثالا ضخما للملك رمسيس الثاني وآخر لابنته ""ميريت امون"" يعد من أروع ما انتجت يد الفنان المصري القديم من تماثيل نسائية. كما تفقدتا مشروع تطوير ورفع مستوى الخدمات بالمنطقة، حيث يأتي تطوير منطقة ""ميريت آمون"" في إطار الاهتمام بالمناطق الأثرية وتنشيط الحركة السياحية داخل المحافظة، ضمن خطة المحافظة لوضعها على أجندة السياحة العالمية والمحلية.",,3,1,1,0,1,1,1,,Sohag Governorate; Al-Kawthar District; Akhmim,0,0,1,17,5,,,,,,,0,0,0,1,the weavers in Al-Kawthar District,0,0,0,0,,
1102128342092012,1,2024-12-06T09:16:28+00:00,868553364646643,رئاسة مجلس الوزراء المصري,EgyptianCabinet,Egypt,https://www.facebook.com/EgyptianCabinet/,"بيان صادر عن وزارة البترول والثروة المعدنية:

في إطار استراتيجية عمل وزارة البترول والثروة المعدنية لدعم تأمين إمدادات الغاز الطبيعي للقطاعات الاقتصادية المختلفة لتلبية الطلب المحلي  ، وقّعت الشركة المصرية القابضة للغازات الطبيعية ( إيجاس ) ، اتفاقية مع شركة ""نيوفورترس"" الأمريكية لاستئجار وحدة تغييز عائمة تعد الثانية في السوق المحلي، بهدف استقبال وتخزين الغاز الطبيعي المسال وإعادته الي الحالة الغازية وتوجيهه إلى الشبكة القومية للغازات الطبيعية لتلبية متطلبات الإستهلاك   .

وقّع الاتفاقية المهندس يس محمد العضو المنتدب التنفيذي لشركة ""إيجاس""، والسيد كريستوفر جينتا المفوض بالتوقيع وذلك بحضور السيد أسد إمران نائب الرئيس الأول للتعاقدات والشحن التجاري بشركة نيوفورترس و من شركة إيجاس المهندس أسامة السمنودي، نائب رئيس الشركة للعمليات والشبكات، والمحاسب أشرف حبيب، نائب رئيس الشركة للتجارة الداخلية  والمشرف على التجارة الخارجية و الأستاذ هاني علام المشرف على الشئون القانونية والمحاسب محمد التراس مساعد رئيس الشركة للعقود. 

تأتي هذه الخطوة حرصاً  من وزارة البترول والثروة المعدنية على مواجهة الطلب المتزايد على الغاز الطبيعي، خاصة في فترات ذروة الاستهلاك الصيفي، تنفيذاً لتوجيهات الدولة لضمان استقرار إمدادات الكهرباء ، وذلك بالتوازي مع الجهود التكاملية بين وزارتي البترول والكهرباء والطاقة  المتجددة   لتشكيل المزيج الأمثل للطاقة في السوق المحلي والذي يسهم في زيادة مشاركة الطاقة المتجددة في توليد الكهرباء لتحقيق التوازن المطلوب للطاقة محلياً وتأمين إمداداتها  . 

وتتميز وحدة التغييز العائمة الثانية بأحدث التقنيات ، حيث تبلغ سعتها التخزينية 160 ألف متر مكعب من الغاز الطبيعي المسال، مع قدرة تغييز تصل إلى 750 مليون قدم مكعب يومياً.

 ومن المقرر أن يتمركز تشغيل الوحدة على الرصيف البحري لميناء سوميد في العين السخنة، ومن المتوقع بدء عملياتها خلال النصف الثاني من عام 2025 مما يسهم في تعزيز البنية التحتية لقطاع الغاز الطبيعي بمصر وتحقيق استدامة الإمدادات.

 تعد شركة ""نيوفورترس"" الأمريكية من الشركات الرائدة عالمياً في تقديم حلول مبتكرة وفعّالة في مجال الطاقة، مع تركيز خاص على تطوير تقنيات الغاز الطبيعي المسال والطاقة المستدامة. وتمتاز الشركة بتقديم خدمات موثوقة بتكلفة تنافسية، ما يجعلها شريكاً استراتيجياً في قطاع الطاقة بمصر.",corrected,3,1,1,1,1,1;3,1,,Ain Sokhna,0,0,8,18,,,,,,,,0,0,0,0,,0,0,0,0,pro_us New Fortress ENergy is described as a strategic partner representing American innovation in energy,"it's a private company, so pro_us doesn't apply. 

also for resource distribution, ""The unit is scheduled to be based at the Sumed port berth in Ain Sokhna"", so resource_distribution_for_whom = 1; resource_distribution_for_whom_region1 = ""Ain Sokhna"". (although i understand why you coded it as 0, given that the gas will eventually benefit the whole country - however, the concrete resource being discussed is the investment by the company in this specific port).  

for topic, 8 is correct, but 18 (Foreign Trade) also applies, as this falls under Private Investments (subcategory 1804)

for climate_change, i'm not sure why you coded it as 1 - i might be missing something?



"
