"id","language","politics","domestic_politics","foreign_politics","resource_distribution","resource_distribution_by_whom1","resource_distribution_for_whom1","resource_distribution_for_whom_ethnic1","resource_distribution_for_whom_region1","resource_distribution_gender","climate_change","pro_us","pro_russia","pro_china","pro_un","pro_imf","pro_democracy","anti_western","national_unity","subgroup_unity","subgroup_unity_text","african_unity","political_opponents","religion","political_opponents_viol","national_unity_narrow","topic"
"1712829139429512","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","EDUCATION"
"1295550525084624","English","not political","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","unclear","unclear","not applicable","unclear","not applicable","unclear","not applicable","NOT CODED","not applicable"
"819655830625887","Other(Amharic)","politics","domestic politics","not foreign politics","resource distribution","other","country-wide","not applicable","not applicable","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","SOCIAL WELFARE"
"1868830557321345","French","politics","domestic politics","foreign politics","resource distribution","national government;international organisations","country-wide","not applicable","not applicable","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","positive towards the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","subgroup unity","unclear","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","ETHNICITY;EDUCATION;INTERNATIONAL AFFAIRS"
"529616306234190","French","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","positive towards the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH;INTERNATIONAL AFFAIRS"
"581120828360033","French","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS;SOCIAL WELFARE"
"2313167712449744","English","politics","domestic politics","foreign politics","resource distribution","international organisations","country-wide","not applicable","not applicable","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","positive towards the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","IMMIGRATION;INTERNATIONAL AFFAIRS"
"1125844379615595","Portuguese","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","INTERNATIONAL AFFAIRS;AGRICULTURE"
"776064881706914","Arabic","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","CIVIL RIGHTS;EDUCATION"
"2290286427985919","French","politics","domestic politics","not foreign politics","resource distribution","national government","specific locality or group","not applicable","Libreville","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH;SOCIAL WELFARE"
"779546798158899","English","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","positive towards the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","no mention of specific subgroup","not applicable","african unity","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","ETHNICITY;CIVIL RIGHTS"
"1437578163971737","English","politics","domestic politics","not foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","subgroup unity","Akwa Ibom State","no mention of africa","no mention of political opponents","religious","no mention of violent group","NOT CODED","NO TOPIC"
"1519880015866035","Other(Malagasy)","politics","domestic politics","foreign politics","not resource distribution","not applicable","not applicable","not applicable","not applicable","not applicable","mentions climate change","no mention of the US","no mention of the Russia","no mention of the China","positive towards the UN","no mention of the IMF","no mention of democracy","not anti-western","no mention of the nation or national unity","subgroup unity","Southern region","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","ENVIRONMENT;INTERNATIONAL AFFAIRS"
"1752854958690626","Portuguese","politics","domestic politics","not foreign politics","resource distribution","national government","country-wide","not applicable","not applicable","resources not specifically for women","not applicable","no mention of the US","no mention of the Russia","no mention of the China","no mention of the UN","no mention of the IMF","no mention of democracy","not anti-western","national unity","no mention of specific subgroup","not applicable","no mention of africa","no mention of political opponents","no mention of religion","no mention of violent group","NOT CODED","HEALTH;GOVERNMENT OPERATIONS"
